Date,Dislikes,Image,Likes,Name,Rating,RelativeDate,Review,ReviewId,Title,URCount,Verified
2017-03-29 14:46:47,0,https://www.gravatar.com/avatar/407e094f5c8d1c9599c400f52ab5620f?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Yedukrishnan,90,22 hours ago,class good movie with perfect editing and direction the background score is very much better gopi sundar makes good bgm overall a good movie that i seen in these days,17659831,super,9,N
2017-03-29 14:41:30,0,https://www.gravatar.com/avatar/950c1b774db3a283fa87069882eb62c6?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Jayasankar,90,22 hours ago,"Everything about this movie is excellent.. Excellent acting from Parvathy and Fahad. Excellent making, crisp editing, a good script for real incidents, awesome camera work and what not.. just go watch it..",17659605,Movie of the year,3,Y
2017-03-29 14:40:56,0,https://www.gravatar.com/avatar/9c5adebc95850f615eb4f9eeb7e3941d?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,2,Dileesh,100,22 hours ago,"????? ????? ??????????? ????? ???????????????????? ????????????? ,? ???????????? ?????? ??????. ????? ????????? ??????? ????? ???? ??????? ???????????? ???????????????",17659582,superb movie,2,N
2017-03-29 14:25:49,0,https://www.gravatar.com/avatar/a1e75b52cbada4434516bc4211b90553?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,sini,90,22 hours ago,super casting...i liked the character samira...super story and direction...good cinematography...one or more songs could have been added...overall a super movie...,17658941,super movie.,1,Y
2017-03-29 14:07:41,0,https://www.gravatar.com/avatar/6dbfab1503ea6f3540fe1a07bb8dbea4?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,BIBIN,100,23 hours ago,its such a superb breath taking movie.. hatsoff to the whole team.. especially the camera and the script writer... Fakad and parvathy had done an excellent job in this film. and frm the core of my heart is an awesome movie.. worth watching...,17658282,bibin chand,7,Y
2017-03-29 13:29:53,8,https://www.gravatar.com/avatar/3eb0ad0e9dfc77a1af18fee072e712e4?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,2,Abin,60,23 hours ago,Average movie only..1st half lagging is der.2nd half quite intersting.over all a average movie.parvathy always awsome.fahad and boban done a good job.,17656501,TAKE OFF,1,N
2017-03-29 12:55:24,0,https://www.gravatar.com/avatar/8d1a4c983c43c11a06c9b1ceb9fabbe6?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Prabhesh,90,24 hours ago,Dear all... it is a must watch great movie... Please go and watch in theatre... nice performance by everyone... showing the real life of the Nurses in such difficult situation...,17654754,Great movie to Watch,5,Y
2017-03-29 12:02:39,0,https://www.gravatar.com/avatar/c851b3dd15dfaa761ecc6f5080d399d8?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Bovaz,100,1 day ago,It is a type of tragedy story. But otherwise it is a very very superb movie. Especially Parvathy and Fahad Fasil done their job very well. Nothing so say much. I prefer to see this film. Also the editing of the visuals also feels originality,17652444,Excellent,1,Y
2017-03-29 11:41:15,0,https://www.gravatar.com/avatar/79e5cd4393e75ad52f40e5432c5e33c7?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Aasif,100,1 day ago,"hatts of uu director
ellaavarum pwolichuoo
malayalam industryieena vera levelakkunna  film 
superhitt film
paravathy cheachii verude pwoliichadakkii

asif ali guest role vera mood

chackochan chettanum fahad ikka ingalu vera levelaanttaa 
padam vera mood aaki kalanj",17651498,Take Off,1,N
2017-03-29 11:39:33,1,https://www.gravatar.com/avatar/5b7da8f8fb0830e95326e9d7a72037ea?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Deepak,100,1 day ago,A must watch movie in malayalam. Malayalam industry at its heights. I recommend all of you to go with your family and friends. Congratulations to the team TakeOff !!,17651283,Take Off (U),1,Y
